States inputs Time(msecs) Memory(MB) Nodes Length Episodes Sequence Algorithm
32 2 0 0.613281 12 11 13 aaaaaaaaaaa Q_PDS
32 2 0 0.613281 8 7 7 aaaaaaa Q_PDS
32 2 0 0.613281 9 8 8 aaaaaaaa Q_PDS
32 2 0 0.613281 10 9 9 aaaaaaaaa Q_PDS
32 2 0 0.617188 10 9 9 aaaaaaaaa Q_PDS
32 2 0 0.625 16 15 15 aaaaaaaaaaaaaaa Q_PDS
32 2 0 0.625 10 9 9 aaaaaaaab Q_PDS
32 2 0 0.625 11 10 10 aaaaaaaaaa Q_PDS
32 2 0 0.628906 11 10 10 aaaaaaaaaa Q_PDS
32 2 0 0.628906 8 7 7 aaaaaaa Q_PDS
32 2 0 0.636719 9 8 8 aaaaaaaa Q_PDS
32 2 0 0.636719 11 10 10 aaaaaaaaaa Q_PDS
32 2 0 0.636719 9 8 8 aaaaaaaa Q_PDS
32 2 0 0.636719 9 8 8 aaaaaaaa Q_PDS
32 2 0 0.636719 9 8 8 aaaaaaaa Q_PDS
32 2 0 0.636719 9 8 8 aaaaaaaa Q_PDS
32 2 0 0.636719 9 8 8 aaaaaaaa Q_PDS
32 2 0 0.644531 10 9 9 aaaaaaaaa Q_PDS
32 2 0 0.644531 8 7 7 aaaaaaa Q_PDS
32 2 0 0.644531 11 10 10 aaaaaaaaaa Q_PDS
32 2 0 0.644531 9 8 8 aaaaaaaa Q_PDS
32 2 0 0.644531 8 7 7 aaaaaaa Q_PDS
32 2 0 0.644531 14 13 13 aaaaaaaaaaaaa Q_PDS
32 2 0 0.644531 9 8 8 aaaaaaaa Q_PDS
32 2 0 0.644531 9 8 8 aaaaaaaa Q_PDS
32 2 0 0.644531 12 11 11 aaaaaaaaaaa Q_PDS
32 2 0 0.644531 10 9 9 aaaaaaaaa Q_PDS
32 2 0 0.644531 13 12 12 aaaaabaaaaaa Q_PDS
32 2 0 0.648438 15 14 14 aaaaaaaaaaaaaa Q_PDS
32 2 0 0.648438 12 11 11 aaaaaaaaaaa Q_PDS
32 2 0 0.648438 9 8 8 aaaaaaaa Q_PDS
32 2 0 0.648438 10 9 9 aaaaaaaaa Q_PDS
32 2 0 0.648438 8 7 7 aaaaaaa Q_PDS
32 2 0 0.648438 12 11 11 aaaaaaaaaaa Q_PDS
32 2 0 0.648438 11 10 10 aaaaaaaaaa Q_PDS
32 2 0 0.648438 16 15 15 aaaaaaaaaaaaaaa Q_PDS
32 2 0 0.648438 8 7 7 aaaaaaa Q_PDS
