States inputs Time(msecs) Memory(MB) Nodes Length Episodes Sequence Algorithm
32 3 3 3.49219 60 43 47 aaaaaaaaaaaaaaaaaaaaaaaaabaaTbabaTabTabbTab Q_PDS
32 3 2 3.55469 61 33 35 aaaaaaaaaaaaaaaaaaaaaaaaaaaTaaaTa Q_PDS
32 3 2 3.58203 69 52 29 aaaaaaaaaaaaaaaaaaaaaaaaTaaTaTaTbTbaaaTaaababaTabbTb Q_PDS
32 3 2 3.57422 55 33 22 aaaaaaaaTaaaaaaaaaaaaaaaaaaaaaaTa Q_PDS
32 3 1 3.57422 32 31 27 aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa Q_PDS
32 3 6 3.60156 90 37 37 aaaaaaaaaaaaaaaaaaaaaaaaaaaaTTaaabaTb Q_PDS
32 3 2 3.59375 64 42 32 aaaaaaaaaaaaaaaaaaaaaaaaaaTaabTaTTaTaTaaaa Q_PDS
32 3 2 3.59375 57 43 30 aaaaaaaaaaaaaaaaaaaaaaaaaaaaTbaabaTbaaaaTbb Q_PDS
32 3 4 3.625 104 44 43 aaaaaaaaaaaaaaaaaaaaaaaaaaaaabTbbaaTaabTabTb Q_PDS
32 3 2 3.60156 60 44 33 aaaaaaaaaTaaaaaaaaaaaaaaaaaaaTbbaaaaTTaaabTa Q_PDS
32 3 5 3.64062 124 41 53 aaaaaaTaaaaaaaaaaaaaaaaaaaaaTTabTbaTaaabb Q_PDS
32 3 4 3.61719 105 44 43 aaaaTaaaaaaaaaaaaaaaaaaaaabaabbabaabababTabb Q_PDS
32 3 1 3.58594 38 33 21 aaaaaaaaaaaaaaaaaaaaaaaaaaaTaaTab Q_PDS
32 3 1 3.59375 44 35 31 aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaTTbTb Q_PDS
32 3 2 3.59375 51 41 36 aaaaaaaaaaabaaaaaaaaaaaaaaaaaaTbabaTbbTab Q_PDS
32 3 2 3.59375 60 36 42 aaaaaaaaaaaaaaaaaaaaaaaaaaTaaaaTaTab Q_PDS
32 3 7 3.67578 151 45 55 aaaaaaaaaaaaaaaaaaaaaaaaaaabTaabaTaTaaTabaTab Q_PDS
32 3 2 3.61328 64 36 35 aaaaaaaaaaaTaaaaaaaaaaaaaaaaaaTaTbaa Q_PDS
32 3 2 3.59375 68 31 35 aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa Q_PDS
32 3 2 3.60547 59 39 30 aaaaaaaaaaaaaaaaaaaaaaaaaaaaTbbaTbbaTab Q_PDS
32 3 1 3.59375 40 47 35 aaaTaaaaaaaabaaaaaaaaaaaaaaaaTabTaTbTbbbaTaaaTb Q_PDS
32 3 2 3.58984 51 34 33 aaaaaaaaaaaTaaaaaaaaaaaaaaaaTaaaTa Q_PDS
32 3 1 3.58203 32 34 28 aaaaaaaaaaaaaaaaaaaaaaaaaaaTaTaTaa Q_PDS
32 3 2 3.58594 45 33 35 aaaaaaaaaaaaaaaaaaaaaaaaaaaaTaTaa Q_PDS
32 3 1 3.57422 35 32 31 aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaTa Q_PDS
32 3 2 3.59766 62 33 29 aaaaaaaaaaaaaaaaaaaaaaaaaTaaabTbb Q_PDS
32 3 3 3.61719 70 38 45 aaaaaaaaaaaaaaaaaaaaaaaaaaaaabTaTbbaab Q_PDS
32 3 2 3.59375 63 56 23 aaaaaaaaaaaaaaaaaaaaaaaaTaaTabTaaTabaTabTaaaaTababaabaTb Q_PDS
32 3 1 3.58203 34 34 32 aaaaaaaaaaaaaTaaaaaaaaaaaaaaTaTaaa Q_PDS
32 3 2 3.58594 52 32 35 aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaTa Q_PDS
32 3 2 3.60547 77 36 22 aaaaaaaaaaaaaaaaaaaaaaaaaaabTaabTbTb Q_PDS
32 3 3 3.58984 92 40 39 aaaaaaaaaaaaaaaaaaaaaaaaaaaaaTaTaaTaabaa Q_PDS
32 3 1 3.58594 33 32 30 aaaaaaaaaaaaaaaaaaaaaaaaaaTaaaaa Q_PDS
32 3 2 3.60547 84 47 29 aaaaaaaaaaaaaaaaaaaaaaaaaabbTaTbbaaaTaTaaaTbbba Q_PDS
32 3 1 3.60547 45 33 20 aaaaaaaaaaaaaaaaaaaaaaaaaaaTaTbbb Q_PDS
32 3 2 3.60156 54 31 37 aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa Q_PDS
32 3 3 3.61328 78 38 32 aaaaaaaaaaaaaaaaaaaaaaaaaaaabbTbbaaTbb Q_PDS
32 3 2 3.60156 64 33 30 aaaaaaaaabaaaaaaaaaaaaaaaaaaaTaaa Q_PDS
32 3 2 3.58594 51 32 42 aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaTb Q_PDS
32 3 4 3.61328 104 39 42 aaaaaaaaaaaaaaaaaaaaaaaaaaabbabTaaTbbTb Q_PDS
32 3 4 3.64062 107 32 39 aaaaaaaaaaaaaaaaaaaaaaaaaaaTaaaa Q_PDS
32 3 1 3.57422 38 38 29 aaaabaaaaaaaaaaaaaaaaaaaaaaaaabaTaabbb Q_PDS
32 3 1 3.58203 55 58 19 aaaaaaaaaaaaaabaaaaaaaaaaaTaTaTaTbaTabTbaaTbbbaaaababTbaaa Q_PDS
32 3 2 3.58594 59 38 21 aaaaaaaaaaaaaaaaaaaaaaaaaaaaTaTbTbTaTb Q_PDS
32 3 1 3.59375 50 45 23 aaaaaaaaaaaaaaaaaaaaaaTaaaabTbbTbaTaTaTaaTbbb Q_PDS
32 3 3 3.60156 85 35 39 aaaTaaaaaaaaaaaaaaaaaaaaaaaaTaTaTbb Q_PDS
32 3 5 3.64062 135 58 36 aaTaaaaaaaaaaabaaaaaaaaaaaaabaTTbbTaTbTaabTababTaaaaTbbbab Q_PDS
32 3 1 3.59375 41 36 25 aaaaaaaaaabaaaaaaaaaaaaaaaTaTaaaTaTb Q_PDS
32 3 3 3.60938 80 34 38 aaaaaaaaaaaaaaaaaaaaaaaaaaaaabTaTa Q_PDS
32 3 2 3.58984 49 41 31 aaTaaaaaaaaaaaaaaaaaaaaaaaaaaTbTaaTabaabb Q_PDS
32 3 2 3.60156 65 42 31 aaaaaaaaaaaaaaaaaaaaaaaaaaabTTbTbbbbbaabbb Q_PDS
32 3 2 3.59375 66 34 26 aaaaaaaaaaaaaaaaaaaaaaaaaaaTaaTaTb Q_PDS
32 3 5 3.625 124 35 49 aabaaaTaaaaaaaaaaaaaaaaaaaaaaabTbaa Q_PDS
32 3 4 3.61328 104 34 34 aaaaaaaaaaaaaaaaaaaaaaaaaaaaTbTbTb Q_PDS
32 3 2 3.60547 50 33 28 aaaaaaaaaaaaaaaaaaaaaaaaaaabbTbTb Q_PDS
32 3 4 3.62891 96 39 44 aabaaaaaaaaaaaaaaaaaaaaaaaaaaabaTaabaTb Q_PDS
32 3 3 3.62891 86 34 28 aaabaaaaaaaaaaaaaaaaaaaaaaaaabbabb Q_PDS
32 3 2 3.60156 53 32 33 aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaTa Q_PDS
32 3 4 3.62109 109 45 38 aaaaaaaaaaaaaaaaaaaaaaaaaaaTbbTbTbabTTaTabaTb Q_PDS
32 3 3 3.60938 76 32 43 aaaaaaaaaaaaaaaaaaaaaaaaaaaabTbb Q_PDS
32 3 3 3.60938 90 46 29 aaaaaaaaaaaaaaaaaaaaaaaTaaaabTaaaTaTaTaaTbbTab Q_PDS
32 3 2 3.59766 38 34 47 aaaaaaTTaaaaaaaaaaaaaaaaaaaaaaaaTa Q_PDS
32 3 2 3.60938 65 36 37 aaaaaaaaaaaaaaaaaaaaaaaaaaabTaTababb Q_PDS
