States inputs Time(msecs) Memory(MB) Nodes Length Episodes Sequence Algorithm
32 3 1 3.45312 73 89 0 TcbTcaTcabTcabaTcbaaTcabaaTcabbaTcaabaaTcbbTcTcTcabTcTcbTcbaaTcbbTcTcTcbTcbaaTcaaTcTcbaTcaaTcbTcabbaaabTcabbTcbabbTcab Q_SS 
32 3 0 3.50391 53 72 0 aTcTcaTcbbTcTcaTcbTcTcTcbbaTcTcabbbTcbbTcabbbTcababbbaTcabTcbababaaabbTcbaTcbaTcbbTcbbTcaTcbTcb Q_SS 
32 3 1 3.51562 88 109 0 abTcTcaaaaTcaabTcaTcbbaaaaTcabTcbTcTcTcbbTcaTcaaaTcaTcaTcbaabbaTcabbbTcTcaababbbbaTcabaaaaaTcaTcbaaTcTcababTcabTcTcaaaabaaTcabaaaTcbTcTcTcab Q_SS 
32 3 0 3.51562 53 63 0 baaaabTcTcTcbbTcaTcaaTcbaTcbabTcaTcaabbbaabbbbababaaaaTcTcabTcaTcbTcTcbTcbbTcabb Q_SS 
32 3 2 3.53516 106 117 0 bTcbTcTcaTcaaTcbaTcTcTcaTcTcaabTcaTcbTcabTcTcbTcbabaTcbTcaaaaaTcTcaaTcabbaabaTcabbaTcbbbabTcTcTcbTcabbbabaTcabbbTcbabTcabbTcTcbaaTcbbaabTcaTcabaTcbabTcbTcb Q_SS 
32 3 0 3.53516 58 71 0 babbaaaabbTcaabbTcTcaTcbTcbbbaTcbbbbaaaaTcaTcaTcbaTcaTcbbbbTcbTcaaaaTcbbTcabTcbbaaTcaaTca Q_SS 
32 3 0 3.53516 13 14 0 babbaabbaTcbaTcb Q_SS 
32 3 0 3.53516 33 49 0 aTcbTcbTcaabbabTcbbbTcbTcabbaTcbaaabTcaTcabbaaTcbTcaTcbbTcbaab Q_SS 
32 3 0 3.53516 24 38 0 aTcTcabTcabbbTcabTcbbaTcaTcbaTcbTcbbaabTcaTcbbaTcb Q_SS 
32 3 2 3.53516 108 145 0 bTcababaTcTcaaTcbabTcabaabbbabTcbaabTcTcaabbbTcabTcbTcTcTcaaabbTcabTcbbaTcbTcbTcTcbbTcbaTcaTcbbaTcbTcaaaababbTcTcbTcTcaaaabaaabbabTcbaababTcbTcTcbabbabTcaaaTcbbbaTcbTcaaTcaTcaTcTcaTcabTcb Q_SS 
32 3 3 3.53516 115 160 0 abbTcbaaaTcbTcbaTcaaaTcbbbTcbaabTcbTcbaTcbbTcbbaTcbbabaaTcbTcbTcabTcbTcbbabaaabaTcaTcbbababTcbTcTcbbbTcbbaaabbTcaaaababTcaaTcbaabbbabbaTcbTcaTcbbaTcbTcbaabTcbaaaabababaaTcbTcbaTcbabTcbTcTcabbbababb Q_SS 
32 3 1 3.53516 80 98 0 abbabbTcbbTcaaTcTcTcbaaabbabbbbaTcaaTcaabababaTcabbbTcbabbaTcabTcTcbbTcbabbaaTcbbaaTcaTcbaabTcabbbTcabaTcbbTcaTcbTcaTcTcbb Q_SS 
32 3 0 3.53516 36 50 0 abaTcTcbTcaaabTcbTcbabTcbTcbTcbaTcbabTcabbbaTcaTcaTcaTcbTcaaababb Q_SS 
32 3 1 3.53516 77 108 0 TcTcbabaabaTcbabbbTcabbabbTcbTcaaaTcbTcbTcabTcTcbTcaTcabaTcbbTcabTcTcbbaTcbbbTcbababbTcaaaabTcbaTcTcaTcbbabTcaabTcaTcaTcTcbTcbaaTcaTcaaaTcaTcb Q_SS 
32 3 1 3.53516 58 76 0 aTcbbbTcbbbbbTcaabTcabaTcabTcbTcababTcabaaaTcbbbaTcabaaabbTcaabbbaabTcbTcabTcbbTcababaaTcbbb Q_SS 
32 3 17 3.68359 287 39 58 TcaTcaTcabTcTcTcbbbbbTcbbbTcbbTcabTcbbabTcbTcbbTcabb Q_SS 
32 3 0 3.68359 40 44 0 TcbbbbTcaaaaTcabbTcbbaaabTcbaabbbaTcaaabTcbTcbaTcaaTcb Q_SS 
32 3 12 3.68359 235 33 43 TcTcabTcabTcaabbbbTcbbbTcbbTcbaaabbbTcbTcb Q_SS 
32 3 0 3.68359 57 61 0 bbTcbaTcbbbaTcbbbbTcbaaabTcabaaababaababbaTcaTcaTcaaTcbTcTcabTcbbaTcaaTcbab Q_SS 
32 3 1 3.68359 70 93 0 abbbTcbabbababbaTcbaaTcbbTcbTcbbaTcbaTcbTcabTcbaTcbbbbaaaabTcbTcbaaTcabaaaTcababbbTcaabbaTcTcaabababbbbTcbTcaTcbb Q_SS 
32 3 1 3.68359 86 108 0 abbabbTcTcabbabaTcabaaaaTcbTcbTcbTcababTcbbbTcabTcbTcaaaTcTcTcbabaTcabTcaabaaaaTcbabTcbTcababTcabaTcbTcbaaTcabTcaTcbbbbaabbababTcaabTcb Q_SS 
32 3 11 3.69141 239 32 46 TcTcabbTcaTcaTcaaTcaTcTcaabbbbbbbaaabaab Q_SS 
