Episodes Task Normalised_Cummulative_Reward
1 Q(RS) 0.00000
2 Q(RS) 0.39000
3 Q(RS) 0.82688
4 Q(RS) 0.91836
5 Q(RS) 0.64523
6 Q(RS) 0.90396
7 Q(RS) 0.74915
8 Q(RS) 0.72771
9 Q(RS) 0.80227
10 Q(RS) 0.98458
11 Q(RS) 0.71398
12 Q(RS) 0.78041
13 Q(RS) 0.74059
14 Q(RS) 0.85619
15 Q(RS) 0.81710
16 Q(RS) 0.95699
17 Q(RS) 0.94888
18 Q(RS) 0.97889
19 Q(RS) 0.93115
20 Q(RS) 0.85980
21 Q(RS) 0.98896
22 Q(RS) 0.83523
23 Q(RS) 0.92129
24 Q(RS) 0.87586
25 Q(RS) 0.84790
26 Q(RS) 0.86634
27 Q(RS) 0.79736
28 Q(RS) 0.86460
29 Q(RS) 0.96764
30 Q(RS) 0.97112
31 Q(RS) 0.86199
32 Q(RS) 0.99774
33 Q(RS) 0.90937
34 Q(RS) 0.97151
35 Q(RS) 0.99232
36 Q(RS) 0.96413
37 Q(RS) 0.92126
38 Q(RS) 0.97424
39 Q(RS) 0.95358
40 Q(RS) 0.91804
41 Q(RS) 0.92239
42 Q(RS) 0.95684
43 Q(RS) 0.89371
44 Q(RS) 0.97909
45 Q(RS) 0.89350
46 Q(RS) 0.99957
47 Q(RS) 0.88565
48 Q(RS) 0.90050
49 Q(RS) 0.88856
50 Q(RS) 0.99102
51 Q(RS) 0.99511
52 Q(RS) 0.94721
53 Q(RS) 0.99505
54 Q(RS) 0.82385
55 Q(RS) 0.98386
56 Q(RS) 0.98332
57 Q(RS) 0.95469
58 Q(RS) 0.95913
59 Q(RS) 0.99030
60 Q(RS) 0.99036
61 Q(RS) 0.92904
62 Q(RS) 0.88606
63 Q(RS) 0.98685
64 Q(RS) 1.00142
65 Q(RS) 0.97505
66 Q(RS) 0.98401
67 Q(RS) 0.99719
68 Q(RS) 0.89918
69 Q(RS) 0.99392
70 Q(RS) 0.98579
71 Q(RS) 1.00220
72 Q(RS) 0.99328
73 Q(RS) 0.97112
74 Q(RS) 0.93378
75 Q(RS) 0.99457
76 Q(RS) 0.99767
77 Q(RS) 0.93280
78 Q(RS) 0.90129
79 Q(RS) 0.96483
80 Q(RS) 0.99327
81 Q(RS) 0.94988
82 Q(RS) 0.98774
83 Q(RS) 0.97888
84 Q(RS) 0.99663
85 Q(RS) 0.92803
86 Q(RS) 0.99122
87 Q(RS) 0.96284
88 Q(RS) 0.99427
89 Q(RS) 0.96073
